caso_id,cat,tomo,cambio,old_outcome,new_outcome,old_vp,new_vp,old_n_jueces,new_n_jueces,old_por_ello,new_por_ello,new_variante,new_firma_raw,new_jueces,new_idx,apertura_rel,ventana
329_p1191,A1,329,mejora_gano_firma,otro,desestima,sin_firma,segun_su_voto,0,6,"Por ello, como regla, carece de sentido señalar que los profesionales sean terce","Por ello, oído el señor Procurador Fiscal, se desestima la queja.",por_ello,ENRIQUE SANTIAGO PETRACCHI — CARLOS S. FAYT (según su voto) — JUAN CARLOS MAQUEDA (según su voto) — E. RAÚL ZAFFARONI (s,Petracchi | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay,400,247,247-406
329_p1305,A3,329,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,Por ello se resuelve ordenar la integración del Tribunal según el alcance precis,Por ello se resuelve ordenar la integración del Tribunal según el alcance precis,por_ello,,,32,12,12-37
329_p584,A1,329,mejora_gano_firma,otro,otro,sin_firma,unanime,0,3,"En consecuencia, como lo expresó el Tribunal al examinar la “com- pensación por ","Por ello, habiendo dictaminado el señor Procurador General, se declara formalmen",por_ello,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — E. RAÚL ZAFFARONI —,Highton de Nolasco | Fayt | Zaffaroni,431,195,195-437
329_p1066,A1,329,mejora_gano_firma,otro,hace_lugar,sin_firma,mixed,0,7,"Por ello, como regla, carece de sentido señalar que los profesionales sean terce","Por ello, y lo dictaminado por el señor Procurador Fiscal, se hace lugar al recu",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO (en disidencia) — CARLOS S. FAYT (por su voto) — JUAN CARLOS MA,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay,586,335,335-597
329_p1317,A1,329,mejora_gano_firma,otro,otro,sin_firma,unanime,0,7,"En consecuencia, la controversia se circunscribe a determinar los importes que l","Por ello, se decide: Hacer lugar a la demanda y condenar al Estado Nacional – Se",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI — RI,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay,284,57,57-305
329_p53,A3,329,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"Por ello, se resuelve: Declarar que la presente causa es ajena a la","Por ello, se resuelve: Declarar que la presente causa es ajena a la",por_ello,,,7,1,1-8
329_p792,A3,329,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"Por ello, y lo dictaminado en lo pertinente por el señor Procurador General se r","Por ello, y lo dictaminado en lo pertinente por el señor Procurador General se r",por_ello,,,418,172,172-423
329_p94,A3,329,mejora_gano_firma,otro,originaria,sin_firma,mixed,0,7,"Por lo expuesto esta ejecución fiscal, tal como lo disponen los arts. 604 y 605 ","Por ello, se resuelve: I. Declarar procedente el recurso ordinario de apelación ",por_ello,ENRIQUE SANTIAGO PETRACCHI (en disidencia) — ELENA I. HIGHTON DE NOLASCO (según su voto) — CARLOS S. FAYT — JUAN CARLOS ,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay,393,227,227-402
329_p1092,A2,329,mejora_gano_firma,abstracto,hace_lugar,sin_firma,disidencia,0,2,"En consecuencia, revisar la doctrina jurisprudencial que funda el mencionado act","Por ello, y oído el señor Procurador Fiscal, se declara improceden- te el recurs",por_ello,CARMEN M. ARGIBAY (en disidencia parcial) — GABRIEL B. CHAUSOVSKY — CARLOS M. PEREYRA GONZÁLEZ — JUAN CARLOS POCLAVA LAF,Argibay | Rosatti,757,537,537-772
329_p385,A3,329,mejora_gano_firma,otro,confirma,sin_firma,mixed,0,7,"de conformidad con el régimen de las leyes citadas, y había autorizado el pago d","Por ello, oído el señor Procurador Fiscal subrogante, se declara admisible el re",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO (según su voto) — CARLOS S. FAYT (en disidencia) — JUAN CARLOS ,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay,661,424,424-668
329_p2688,A3,329,mejora_gano_firma,otro,otro,sin_firma,disidencia,0,6,"En consecuencia, de las constancias de la causa no surge la inca- pacidad física","Por ello, se decide: Hacer lugar a la demanda seguida por Ramón Roberto Bustos c",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — RICARDO LUIS LORENZETT,Petracchi | Highton de Nolasco | Fayt | Maqueda | Lorenzetti | Argibay,581,111,111-591
329_p2316,A3,329,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,Por ello se resuelve: I. No hacer lugar a la acumulación objetiva de pretensione,Por ello se resuelve: I. No hacer lugar a la acumulación objetiva de pretensione,por_ello,,,761,255,255-855
329_p1586,A1,329,mejora_gano_firma,otro,otro,sin_firma,unanime,0,6,En su mérito modificó el objeto de la demanda y solicitó al Tribu- nal que decla,"Por ello, y de conformidad con el dictamen del señor Procurador Fiscal subrogant",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI — CA,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Argibay,642,352,352-650
329_p1669,A1,329,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"Por ello, no ha lugar a la medida innovativa solicitada por el Doc-","Por ello, no ha lugar a la medida innovativa solicitada por el Doc-",por_ello,,,6,,0-7
329_p1881,A1,329,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"Por ello, se decide: I. Hacer lugar a la demanda seguida por Mario","Por ello, se decide: I. Hacer lugar a la demanda seguida por Mario",por_ello,,,689,71,71-690
329_p2539,A2,329,sin_cambio,procedente,procedente,sin_firma,sin_firma,0,0,"Por ello, de conformidad con lo dictaminado a fs. 38/41 se declara procedente el","Por ello, de conformidad con lo dictaminado a fs. 38/41 se declara procedente el",por_ello,,,284,272,272-287
329_p2864,A1,329,mejora_gano_firma,otro,otro,sin_firma,unanime,0,5,"Por todo lo expuesto decidió no hacer lugar a las nulidades inter- puestas, exon","Por ello, Se Resuelve: Hacer lugar parcialmente a la avocación solicitada y sust",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI — RI,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni,307,,0-314
329_p1862,A3,329,mejora_gano_firma,otro,originaria,sin_firma,segun_su_voto,0,7,"En consecuencia, corresponde rechazar la excepción de falta de legiti- mación ac","Por ello, se resuelve: I. Rechazar la excepción de falta de legitima- ción activ",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (según su voto) — JUAN CARLOS MAQUEDA — E. RAÚ,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay,283,96,96-299
329_p2351,A3,329,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"Por ello, el Tribunal resuelve: Declarar procedente el recurso ordi-","Por ello, el Tribunal resuelve: Declarar procedente el recurso ordi-",por_ello,,,16,,0-17
329_p4449,A1,329,mejora_gano_firma,otro,otro,sin_firma,unanime,0,5,"Por ello, agrega, en cumplimiento de la autorización que le había conferido el t","Por ello, oído el señor Procurador General de la Nación, se resuel- ve: Declarar",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — CARMEN M. ARGIBAY. Act,Petracchi | Highton de Nolasco | Fayt | Maqueda | Argibay,501,200,200-515
329_p3168,A2,329,sin_cambio,originaria,originaria,sin_firma,sin_firma,0,0,"Por ello, se resuelve: I. Rechazar la demanda seguida por Graciela M. Rizo Patró","Por ello, se resuelve: I. Rechazar la demanda seguida por Graciela M. Rizo Patró",por_ello,,,281,50,50-287
329_p4789,A1,329,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"En consecuencia, probada la realización del servicio aéreo, que éste fue requeri","En consecuencia, corresponde rechazar por extemporáneo el plan- teo de fs. 356/3",en_consecuencia,,,518,173,173-523
329_p4032,A2,329,sin_cambio,hace_lugar,hace_lugar,sin_firma,sin_firma,0,0,"Por ello, de conformidad con lo dictaminado por aquélla, se hace lugar parcialme","Por ello, de conformidad con lo dictaminado por aquélla, se hace lugar parcialme",por_ello,,,177,89,89-309
329_p4829,A1,329,mejora_gano_firma,otro,originaria,sin_firma,unanime,0,7,"en consecuencia, los arts. 1º, 14, 16, 17, 28, 31, 33, 75, incs. 1º, 2º, 12, 18,","Por ello, y de conformidad con lo dictaminado por la señora Procu- radora Fiscal",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI — RI,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay,416,244,244-442
329_p4243,A1,329,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,De conformidad con el principio del art. 133 del Código Procesal Civil y Comer- ,De conformidad con el principio del art. 133 del Código Procesal Civil y Comer- ,de_conformidad,,,3,,0-14
329_p3680,A3,329,mejora_gano_firma,otro,hace_lugar,sin_firma,segun_su_voto,0,7,"En consecuencia, mediante la previsión contenida en el art. 52 del Código Penal ","Por ello, oído el señor Procurador Fiscal, se hace lugar a la queja, se declara ",por_ello,ENRIQUE SANTIAGO PETRACCHI (según su voto) — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (según su voto) — JUAN CARLOS ,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay,1420,640,640-1429
329_p4263,A2,329,sin_cambio,originaria,originaria,sin_firma,sin_firma,0,0,"Por ello, se resuelve: I. Admitir la prueba anticipada, rechazar la oposición pl","Por ello, se resuelve: I. Admitir la prueba anticipada, rechazar la oposición pl",por_ello,,,89,43,43-93
329_p3806,A1,329,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"en consecuencia, la de los actos posteriores a aquéllas, por lo que no se puede ","en consecuencia, la de los actos posteriores a aquéllas, por lo que no se puede ",en_consecuencia,,,502,108,108-683
329_p3089,A3,329,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"Por ello, oída la señora Procuradora Fiscal sobre una temática análoga en la cau","Por ello, oída la señora Procuradora Fiscal sobre una temática análoga en la cau",por_ello,,,302,91,91-402
329_p3235,A1,329,mejora_gano_firma,otro,desestima,sin_firma,unanime,0,1,"En consecuencia, se abre este interrogante ¿qué importancia tiene asignar al Sen","Por todo ello, y de conformidad con lo dictaminado por el señor Procurador Gener",por_todo_ello,O. TAZZA (según su voto) — LUIS CÉSAR OTERO — ANTONIO PACILIO — ANGEL A. ARGAÑARAZ — GRACIELA N. FERNÁNDEZ VECINO — GUIL,Otero (conjuez),3591,2659,2659-3599
329_p4862,A3,329,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"Por ello, el Tribunal resuelve: Declarar procedente el recurso or- dinario inter","Por ello, el Tribunal resuelve: Declarar procedente el recurso or- dinario inter",por_ello,,,58,,0-60
329_p5903,A3,329,mejora_gano_firma,otro,procedente,sin_firma,unanime,0,1,de conformidad con el procedimiento previsto por el art. 11 de la ley 25.561 (te,"Por ello, oído el señor Procurador General, se declara procedente el recurso ext",por_ello,CARLOS S. FAYT.,Fayt,290,84,84-295
329_p4944,A1,329,mejora_gano_firma,otro,otro,sin_firma,mixed,0,7,"Por lo expuesto, se justiprecia el valor vida en $ 240.000, monto que se distrib","Por ello, se decide: I.– Hacer lugar a la demanda seguida por Isa- bel del Carme",por_ello,ENRIQUE SANTIAGO PETRACCHI (en disidencia parcial) — ELENA I. HIGHTON DE NOLASCO (según su voto) — CARLOS S. FAYT — JUAN,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay,774,170,170-809
329_p5689,A1,329,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,Por los fundamentos y conclusiones del dictamen del señor Procu-,Por los fundamentos y conclusiones del dictamen del señor Procu-,por_los_fund,,,89,86,86-90
329_p5543,A1,329,mejora_gano_firma,otro,otro,sin_firma,unanime,0,2,"por ello, que la demanda debe ser enderezada contra el Estado local y, para el c","Por ello y oído el señor Procurador Fiscal subrogante, se resuelve declarar la i",por_ello,ENRIQUE SANTIAGO PETRACCHI — CARLOS S. FAYT — JUAN CARLOS,Petracchi | Fayt,265,102,102-273
329_p5994,A1,329,mejora_gano_firma,otro,hace_lugar,sin_firma,segun_su_voto,0,5,"En consecuencia, la denegación de la vía casatoria se apoyó exclu- sivamente en ","Por ello, y lo dictaminado en sentido concordante por el señor Pro- curador Fisc",por_ello,ENRIQUE SANTIAGO PETRACCHI (según su voto) — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI — RIC,Petracchi | Highton de Nolasco | Maqueda | Zaffaroni | Lorenzetti,244,116,116-258
329_p5310,A1,329,mejora_gano_firma,otro,hace_lugar,sin_firma,disidencia,0,7,"por ello, respuesta a los planteos que formuló la parte en defensa de sus derech","Por ello, y habiendo dictaminado el señor Procurador General, se hace lugar a la",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI — RI,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay,196,37,37-205
329_p5123,A1,329,mejora_gano_firma,otro,hace_lugar,sin_firma,disidencia,0,7,"Por ello, si bien el desapoderamiento dispuesto por el art. 107 de la ley 24.522","Por ello, y lo concordemente dictaminado por el señor Procurador Fiscal, se hace",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO (en disidencia parcial) — CARLOS S. FAYT — JUAN CARLOS MAQUEDA ,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay,466,364,364-479
330_p948,A2,330,sin_cambio,mal_concedido,mal_concedido,sin_firma,sin_firma,0,0,"Por ello, se declara mal concedido el recurso ordinario de fs. 809/820, con cost","Por ello, se declara mal concedido el recurso ordinario de fs. 809/820, con cost",por_ello,,,54,,0-56
330_p1286,A2,330,sin_cambio,competencia,competencia,sin_firma,sin_firma,0,0,"De conformidad con lo dictaminado por la señora Procuradora Fis- cal subrogante,","De conformidad con lo dictaminado por la señora Procuradora Fis- cal subrogante,",de_conformidad,,,111,108,108-117
330_p563,A1,330,mejora_gano_firma,otro,otro,sin_firma,disidencia,0,7,"Por lo expuesto, cabe admitir la responsabilidad del club organiza- dor del espe","Por ello, se decide: I. Hacer lugar a la demanda seguida por Hugo Arnaldo Mosca ",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO (CON AMPLIACIÓN DE FUNDAMENTOS) — CARLOS S. FAYT (en disidencia) —,Lorenzetti | Highton de Nolasco | Fayt | Petracchi | Maqueda | Zaffaroni | Argibay,1121,232,232-1156
330_p628,A2,330,sin_cambio,competencia,competencia,sin_firma,sin_firma,0,0,"De conformidad con lo dictaminado por la señora Procuradora Fis- cal, se declara","De conformidad con lo dictaminado por la señora Procuradora Fis- cal, se declara",de_conformidad,,,90,87,87-96
330_p76,A1,330,mejora_gano_firma,otro,hace_lugar,sin_firma,disidencia,0,7,"Por ello, planteó ante el Superior Tribunal de Justicia una “acción” cuya tramit","Por ello, oído el señor Procurador Fiscal subrogante, se hace lugar a la queja, ",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO (en disidencia) — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI (en ,Lorenzetti | Highton de Nolasco | Fayt | Petracchi | Maqueda | Zaffaroni | Argibay,347,138,138-361
330_p120,A2,330,sin_cambio,competencia,competencia,sin_firma,sin_firma,0,0,"De conformidad con lo dictaminado por la señora Procuradora Fis- cal, se declara","De conformidad con lo dictaminado por la señora Procuradora Fis- cal, se declara",de_conformidad,,,96,93,93-101
330_p960,A3,330,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"Por ello, de conformidad con lo dictaminado por aquélla, se declara admisible el","Por ello, de conformidad con lo dictaminado por aquélla, se declara admisible el",por_ello,,,67,58,58-77
330_p251,A1,330,mejora_gano_firma,otro,originaria,sin_firma,segun_su_voto,0,5,"De conformidad con lo previsto por el art. 24, inc. 7°, última parte, del decret","Por ello, Se Resuelve: I.– Dejar sin efecto la excusación del doctor Marcos Brun",por_ello,RICARDO LUIS LORENZETTI — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN CARLOS MAQUEDA (según su voto) — CARMEN M. ,Lorenzetti | Fayt | Petracchi | Maqueda | Argibay,136,,0-153
330_p1257,A2,330,sin_cambio,hace_lugar,hace_lugar,sin_firma,sin_firma,0,0,"Por ello, de conformidad con lo dictaminado por la señora Procura- dora Fiscal s","Por ello, de conformidad con lo dictaminado por la señora Procura- dora Fiscal s",por_ello,,,110,100,100-114
330_p1135,A1,330,mejora_gano_firma,otro,otro,sin_firma,segun_su_voto,0,7,"De conformidad con las previsiones contenidas en la ley 24.660, en lo que aquí i","Por ello y de conformidad con lo dictaminado por la señora Procu- radora Fiscal,",por_ello,RICARDO LUIS LORENZETTI (según su voto) — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JU,Lorenzetti | Highton de Nolasco | Fayt | Petracchi | Maqueda | Zaffaroni | Argibay,511,264,264-533
330_p1043,A2,330,sin_cambio,desestima,desestima,sin_firma,sin_firma,0,0,"Por ello, se desestima la queja. Intímese a la parte recurrente a que, dentro de","Por ello, se desestima la queja. Intímese a la parte recurrente a que, dentro de",por_ello,,,14,4,4-19
330_p1305,A2,330,sin_cambio,competencia,competencia,sin_firma,sin_firma,0,0,"De conformidad con lo dictaminado por la señora Procuradora Fis- cal subrogante,","De conformidad con lo dictaminado por la señora Procuradora Fis- cal subrogante,",de_conformidad,,,36,33,33-42
330_p810,A2,330,sin_cambio,competencia,competencia,sin_firma,sin_firma,0,0,"De conformidad con lo dictaminado por la señora Procuradora Fis- cal subrogante,","De conformidad con lo dictaminado por la señora Procuradora Fis- cal subrogante,",de_conformidad,,,47,44,44-53
330_p807,A2,330,sin_cambio,competencia,competencia,sin_firma,sin_firma,0,0,"De conformidad con lo dictaminado por la señora Procuradora Fis- cal, se declara","De conformidad con lo dictaminado por la señora Procuradora Fis- cal, se declara",de_conformidad,,,85,82,82-91
330_p530,A1,330,mejora_gano_firma,otro,otro,sin_firma,unanime,0,6,"En consecuencia, la Provincia de Misiones concluye que esas escri- turas “carece","Por ello se resuelve rechazar la demanda contra la Provincia de Misiones, con co",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN CARLOS MAQUED,Lorenzetti | Highton de Nolasco | Fayt | Petracchi | Maqueda | Argibay,447,7,7-465
330_p1478,A1,330,mejora_gano_firma,otro,hace_lugar,sin_firma,mixed,0,7,"En consecuencia, calificó el hecho por el cual fuera condenado Escude- ro como c","Por ello, oído el señor Procurador Fiscal, se hace lugar a la queja, se declara ",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO (en disidencia) — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JU,Lorenzetti | Highton de Nolasco | Fayt | Petracchi | Maqueda | Zaffaroni | Argibay,270,191,191-280
330_p2046,A2,330,sin_cambio,abstracto,abstracto,sin_firma,sin_firma,0,0,"Por ello, se declara abstracta la cuestión planteada. Hágase saber y, oportuname","Por ello, se declara abstracta la cuestión planteada. Hágase saber y, oportuname",por_ello,,,30,7,7-32
330_p1927,A1,330,mejora_gano_firma,otro,otro,sin_firma,unanime,0,6,"En su mérito, la legislatura de la Provincia de San Juan adhirió al nuevo régime","Por ello, oído el señor Procurador Fiscal, se resuelve: Rechazar la impugnación ",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN CARLOS MAQUED,Lorenzetti | Highton de Nolasco | Fayt | Petracchi | Maqueda | Argibay,620,157,157-643
330_p2739,A1,330,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"Por lo expuesto, en mi parecer, se encuentran reunidos la totali- dad de los req","Por lo expuesto, en mi parecer, se encuentran reunidos la totali- dad de los req",por_lo_expuesto,,,96,,0-130
330_p2416,A1,330,cambio_outcome,otro,revoca,sin_firma,sin_firma,0,0,"En consecuencia, la inclusión o exclusión de Y.P.F. del régimen de consolidación","Por ello, y de conformidad con lo dictaminado por el señor Procu- rador Fiscal s",por_ello,,,511,289,289-517
330_p2327,A3,330,sin_cambio,otro,otro,sin_firma,sin_firma,0,0,"Por ello, y lo dictaminado por el señor Procurador Fiscal, se deses- tima la que","Por ello, y lo dictaminado por el señor Procurador Fiscal, se deses- tima la que",por_ello,,,254,244,244-264
