caso_id,tomo,span,parser_firma,parser_outcome,parser_dictamen,zonif_clasif,zonif_firma,zonif_disp,zonif_cuerpo,zonif_dictamen,concuerda_firma,concuerda_disp,concuerda_dictamen,n_sumario,n_dictamen,n_cuerpo,n_dispositivo,n_firma,n_voto,n_epilogo,n_header,n_intersticio
329_p5,329,142,unanime,procedente,True,fallo_completo,True,True,True,True,True,True,True,13,92,8,9,4,0,6,8,1
329_p9,329,101,unanime,desestima,False,fallo_completo,True,True,True,False,True,True,True,21,0,55,1,2,0,9,9,3
329_p12,329,112,segun_su_voto,desestima,False,fallo_completo,True,True,True,False,True,True,True,15,0,70,3,5,1,6,9,2
329_p15,329,148,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,22,87,8,8,4,0,6,12,0
329_p19,329,35,unanime,desestima,False,fallo_completo,True,True,True,False,True,True,True,5,0,12,2,3,0,8,3,1
329_p20,329,311,segun_su_voto,procedente,True,fallo_completo,True,True,True,True,True,True,True,68,83,14,12,6,2,100,24,1
329_p28,329,455,mixed,otro,True,fallo_completo,True,True,True,True,True,True,True,75,166,149,9,14,2,2,36,1
329_p40,329,267,unanime,originaria,True,fallo_completo,True,True,True,True,True,True,True,35,56,72,6,11,0,65,21,0
329_p47,329,81,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,10,48,6,3,5,0,0,6,2
329_p49,329,116,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,3,0,5,31,2,0,0,9,65
329_p53,329,227,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,37,25,29,71,9,0,35,19,0
329_p59,329,757,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,80,44,356,210,2,0,0,58,6
329_p78,329,77,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,12,0,46,5,5,0,0,6,2
329_p80,329,103,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,16,49,2,21,3,0,0,9,2
329_p83,329,85,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,8,58,2,7,2,0,0,6,1
329_p85,329,90,unanime,competencia,False,fallo_completo,True,True,True,False,True,True,True,0,0,2,18,2,0,0,6,61
329_p88,329,203,disidencia,otro,True,fallo_completo,True,True,True,True,True,True,True,30,68,60,12,4,1,8,18,1
329_p94,329,914,mixed,originaria,False,fallo_completo,True,True,True,False,True,True,True,184,0,313,213,35,5,93,69,1
329_p117,329,98,segun_su_voto,desestima,False,fallo_completo,True,True,True,False,True,True,True,15,0,39,6,11,2,14,9,1
329_p120,329,81,unanime,nulidad,False,fallo_completo,True,True,True,False,True,True,True,15,0,40,4,2,0,10,9,0
329_p123,329,457,segun_su_voto,revoca,True,fallo_completo,True,True,True,True,True,True,True,56,333,13,6,6,1,7,33,1
329_p134,329,47,unanime,otro,False,fallo_completo,True,True,True,False,True,True,True,10,0,23,2,2,0,5,3,1
329_p135,329,246,disidencia,desestima,True,fallo_completo,True,True,True,True,True,True,True,22,111,47,16,7,1,18,21,2
329_p142,329,185,unanime,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,23,115,8,16,3,0,3,15,1
329_p147,329,56,segun_su_voto,desestima,False,fallo_completo,True,True,True,False,True,True,True,11,0,19,4,7,1,6,6,1
329_p149,329,363,segun_su_voto,hace_lugar,False,fallo_completo,True,True,True,False,True,True,True,78,0,39,31,18,138,30,27,1
329_p158,329,151,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,26,95,9,6,2,0,0,12,0
329_p163,329,91,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,8,60,2,5,3,0,0,7,5
329_p165,329,72,unanime,otro,True,fallo_completo,True,True,True,True,True,True,True,15,36,2,9,2,0,0,6,1
329_p167,329,121,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,17,79,2,7,3,0,0,12,0
329_p171,329,149,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,27,95,2,7,4,0,0,12,1
329_p175,329,91,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,10,58,2,10,2,0,0,6,2
329_p177,329,172,unanime,competencia,True,fallo_completo,True,True,True,True,True,True,True,24,120,2,8,2,0,0,15,0
329_p182,329,81,segun_su_voto,mal_concedido,False,fallo_completo,True,True,True,False,True,True,True,12,0,43,4,6,1,6,6,2
329_p184,329,117,unanime,confirma,True,fallo_completo,True,True,True,True,True,True,True,12,73,7,5,2,0,7,9,1
329_p187,329,557,unanime,procedente,True,fallo_completo,True,True,True,True,True,True,True,101,389,7,5,3,0,8,42,1
329_p201,329,174,unanime,hace_lugar,True,fallo_completo,True,True,True,True,True,True,True,29,103,10,8,3,0,4,15,1
