caso_id_canonico,tomo,n_lineas,es_techo_corta,pe_idx_bl,pe_tier_bl,vp_bl,bl_outcome,pe_idx_b067,pe_tier_b067,vp_b067,tier3_fired,inicio_votos_indiv,inicio_busqueda,fin_busqueda_con_techo
329_p5,329,142,False,125,tier1_validado,unanime,procedente,125,tier1_validado,unanime,False,,116,142
329_p9,329,101,False,86,tier1_validado,unanime,desestima,86,tier1_validado,unanime,False,,27,101
329_p12,329,112,False,91,tier1_validado,segun_su_voto,desestima,91,tier1_validado,segun_su_voto,False,96,18,96
329_p15,329,148,False,130,tier1_validado,unanime,otro,130,tier1_validado,unanime,False,,121,148
329_p19,329,35,False,19,tier1_validado,unanime,desestima,19,tier1_validado,unanime,False,,6,35
329_p20,329,311,False,278,tier1_validado,segun_su_voto,procedente,278,tier1_validado,segun_su_voto,False,288,269,288
329_p28,329,455,False,278,tier1_validado,mixed,otro,278,tier1_validado,mixed,False,285,269,285
329_p40,329,267,False,250,tier1_validado,unanime,originaria,250,tier1_validado,unanime,False,,100,267
329_p47,329,119,False,73,tier1_validado,unanime,otro,73,tier1_validado,unanime,False,,63,119
329_p49,329,113,False,108,tier1_validado,unanime,otro,108,tier1_validado,unanime,False,,102,113
329_p53,329,8,False,7,tier1_fallback,sin_firma,otro,7,tier1_fallback,sin_firma,False,,1,8
329_p59,329,757,False,736,tier1_validado,unanime,otro,736,tier1_validado,unanime,False,,352,757
329_p78,329,77,False,64,tier1_validado,unanime,otro,64,tier1_validado,unanime,False,,14,77
329_p80,329,103,False,90,tier1_validado,unanime,competencia,90,tier1_validado,unanime,False,,87,103
329_p83,329,112,False,75,tier1_validado,unanime,competencia,75,tier1_validado,unanime,False,,72,112
329_p85,329,90,False,81,tier1_validado,unanime,competencia,81,tier1_validado,unanime,False,,78,90
329_p88,329,203,False,175,tier1_validado,disidencia,otro,175,tier1_validado,disidencia,False,184,110,184
329_p94,329,914,False,393,tier1_validado,mixed,originaria,393,tier1_validado,mixed,False,402,227,402
329_p117,329,98,False,64,tier1_validado,segun_su_voto,desestima,64,tier1_validado,segun_su_voto,False,70,22,70
329_p120,329,54,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,18,54
329_p123,329,457,False,431,tier1_validado,segun_su_voto,revoca,431,tier1_validado,segun_su_voto,False,437,422,437
329_p134,329,47,False,38,tier1_validado,unanime,otro,38,tier1_validado,unanime,False,,11,47
329_p135,329,246,False,176,tier1_validado,disidencia,desestima,176,tier1_validado,disidencia,False,183,166,183
329_p142,329,185,False,169,tier1_validado,unanime,hace_lugar,169,tier1_validado,unanime,False,,160,185
329_p147,329,56,False,32,tier1_validado,segun_su_voto,desestima,32,tier1_validado,segun_su_voto,False,37,13,37
329_p149,329,363,False,116,tier1_validado,segun_su_voto,hace_lugar,116,tier1_validado,segun_su_voto,False,125,95,125
329_p158,329,151,False,146,tier1_validado,unanime,otro,146,tier1_validado,unanime,False,,136,151
329_p163,329,91,False,83,tier1_validado,unanime,otro,83,tier1_validado,unanime,False,,80,91
329_p165,329,72,False,64,tier1_validado,unanime,otro,64,tier1_validado,unanime,False,,61,72
329_p167,329,121,False,108,tier1_validado,unanime,competencia,108,tier1_validado,unanime,False,,105,121
329_p171,329,149,False,135,tier1_validado,unanime,competencia,135,tier1_validado,unanime,False,,132,149
329_p175,329,91,False,83,tier1_validado,unanime,competencia,83,tier1_validado,unanime,False,,80,91
329_p177,329,172,False,159,tier1_validado,unanime,competencia,159,tier1_validado,unanime,False,,156,172
329_p182,329,81,False,30,tier1_validado,segun_su_voto,mal_concedido,30,tier1_validado,segun_su_voto,False,34,16,34
329_p184,329,117,False,103,tier1_validado,unanime,confirma,103,tier1_validado,unanime,False,,95,117
329_p187,329,557,False,546,tier1_validado,unanime,procedente,546,tier1_validado,unanime,False,,538,557
329_p201,329,33,False,,,sin_firma,sin_dispositivo,,,sin_firma,True,,0,33
329_p206,329,213,False,200,tier1_validado,unanime,desestima,200,tier1_validado,unanime,False,,190,213
