caso_id_canonico,considerando_text,por_ello_text,firma_raw
329_p53,"Autos y Vistos; Considerando: 1º) Que a fs. 165 se presenta la Provincia de Catamarca y opone las excepciones de incompetencia y falta de legitimación activa. Fun- da la primera de las defensas en que la materia debatida en autos no constituye una cuestión federal ni una causa civil sino de derecho pú- blico local, toda vez que lo que se pretende es la revisión de un decreto provincial dictado como consecuencia de un error registral en que in- currió el Registro de la Propiedad Inmobiliaria y de Mandatos, al ha- ber asignado en el sistema de folio real un número de dominio a una inscripción de derechos y acciones hereditarios sobre un campo, cuan- do debió haberse asentado en el libro de anotaciones personales. Sos- tiene que el carácter eminentemente administrativo de la cuestión se encuentra determinado con toda claridad en la motivación del acto, pues el decreto que se intenta impugnar fue dictado a raíz de un recla- mo efectuado ante la Administración General de Catastro local por haberse negado a inscribir un trabajo de mensura como consecuencia del error registral señalado, lo que dio lugar a que la provincia inter- pusiera una acción de lesividad –que fue desestimada– a fin de obte- ner la declaración de nulidad absoluta e insanable ante el Superior Tribunal de Justicia de Catamarca. 2º) Que en lo que respecta a la excepción de incompetencia le asis- te razón a la demandada. Ello es así, pues al haberse reeditado la cuestión ante la declinatoria articulada los elementos aportados en la causa llevan a la conclusión que, en efecto, lo que se cuestiona en au- tos no es –en rigor– el derecho real de condominio y su transmisión por escritura pública sino que se pretende la revisión del decreto pro- vincial 1369, mediante el cual el Estado local dispuso, como conse- cuencia de la existencia de un error registral, la inejecutoriedad de un 58 FALLOS DE LA CORTE SUPREMA 329 asiento dominial correspondiente al Registro de la Propiedad Inmue- ble y de Mandatos de su jurisdicción local. 3º) Que este Tribunal ha decidido en reiterados antecedentes que en las cuestiones concernientes al derecho público local, el litigio no debe ventilarse en la instancia originaria de este Tribunal, ya que el respeto de las autonomías provinciales requiere que se reserve a sus jueces el conocimiento y decisión de las causas que, en lo sustancial, versan sobre aspectos propios del derecho provincial, dictado en uso de las facultades reservadas a las provincias (arts. 121 y 122 de la Constitución Nacional; Fallos: 318:992, 2457 y 2534). 4º) Que el hecho de que los actores sostengan que el decreto pro- vincial 1369 es inconstitucional no funda la competencia originaria de este Tribunal en razón de la materia, pues aquélla procede tan sólo cuando la acción entablada se basa “directa y exclusivamente” en pres- cripciones constitucionales de carácter nacional, leyes del Congreso o tratados, de tal suerte que la cuestión federal sea la predominante en la causa (Fallos: 183:160; 271:244; 318:992, 2457 y 2534) pero no cuan- do, como sucede en la especie, deben examinarse normas y actos de naturaleza local que son de competencia de los poderes provinciales (Fallos: 277:365; 291:232; 292:625; 318:992, 2457 y 2534). Ello, desde luego, sin perjuicio de que las cuestiones federales que también puedan comprender este tipo de litigios sean susceptibles de una adecuada tutela por vía del recurso extraordinario. En efecto, el art. 14 de la ley 48 consolidará la verdadera extensión de la jurisdic- ción provincial y preservará el singular carácter de la intervención de este Tribunal, reservada para después de agotada la instancia local (Fallos: 311:2478; 318:992). 5º) Que en atención a la forma en que ha sido decidida la cuestión, no corresponde pronunciarse sobre las demás defensas opuestas.","Por ello y de conformidad con lo dictaminado por el señor Procura- dor Fiscal subrogante, se resuelve: Hacer lugar a la excepción de in- competencia planteada por la Provincia de Catamarca a fs. 165. Con costas (arts. 68 y 69 del Código Procesal Civil y Comercial de la Na- ción). Notifíquese.",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI.
329_p167,"TUBOS PRODINCO S.A. JURISDICCION Y COMPETENCIA: Competencia ordinaria. Por la materia. Cuestio- nes civiles y comerciales. Quiebra. Generalidades. Las normas de competencia en la ley de concursos son de orden público y no admiten ser prorrogadas por voluntad de las partes. –Del dictamen de la Procuración General, al que remitió la Corte Suprema–. 168 FALLOS DE LA CORTE SUPREMA 329 JURISDICCION Y COMPETENCIA: Competencia ordinaria. Por la materia. Cuestio- nes civiles y comerciales. Quiebra. Domicilio del deudor. Si el cambio de domicilio es concomitante con la decisión de presentarse en con- curso preventivo y cuando ya la deudora se hallaba en estado de quiebra en el anterior, el nuevo domicilio que pretende hacer valer, puede calificarse como ficticio, es decir, aquel que es sólo aparente y viene a alterar los principios que consagran la indelegabilidad de la competencia y/o la prohibición de prórroga por voluntad de las partes, lo que adquiere relevancia cuando se halla de por medio el interés público. –Del dictamen de la Procuración General, al que remitió la Corte Suprema–. 169 DE JUSTICIA DE LA NACION 329 170 FALLOS DE LA CORTE SUPREMA 329 FALLO DE LA CORTE SUPREMA Buenos Aires, 14 de febrero de 2006. Autos y Vistos:","De conformidad con lo dictaminado por la señora Procuradora Fis- cal subrogante, se declara que resulta competente para conocer en las actuaciones el Juzgado Nacional de Primera Instancia en lo Comer- cial Nº 4, al que se le remitirán. Hágase saber al Juzgado Civil, Co- mercial y Minas Nº 1 de la Primera Circunscripción Judicial, ciudad de San Luis, provincia del mismo nombre, por intermedio de la Cáma-",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — RICARDO LUIS LORENZETTI.
329_p171,"JURISDICCION Y COMPETENCIA: Competencia federal. Causas penales. Generali- dades. Corresponde a la justicia federal investigar la infracción al art. 170 del Código Penal si el imputado estaría siendo investigado con relación a otros secuestros extorsivos, que tramitan ante la misma fiscalía federal, por lo que la declaración de incompetencia vulnera el criterio que propende a la unidad investigativa en delitos de esta naturaleza y que priva en la concepción legislativa, posibilitado tanto por las atribuciones conferidas al Ministerio Público Fiscal por la ley 25.742, cuanto por la decisión política de facilitar los medios materiales necesarios en el funcionamiento de las unidades fiscales para la investigación de tales delitos. –Del dictamen de la Procuración General, al que remitió la Corte Suprema–. JURISDICCION Y COMPETENCIA: Competencia federal. Causas penales. Generali- dades. La teleología de las normas recientemente sancionadas –leyes 25.742, 25.760, 25.764, 25.765 y 25.770–, en cuanto adjudican el conocimiento de estos delitos al fuero de excepción, consiste en preservar la seguridad pública, finalidad distinta a la que motivara la sanción de la ley 20.661, con la que se buscaba tutelar la seguridad del Estado y sus instituciones ante el accionar de las organizaciones revolucionarias y parapoliciales, con lo cual, el mero interés particular en la co- misión de estos delitos, al contrario de constituir una excepción a la competencia federal, constituye su fundamento. –Del dictamen de la Procuración General, al que remitió la Corte Suprema–. JURISDICCION Y COMPETENCIA: Cuestiones de competencia. Generalidades. Estando pendientes diligencias instructorias a realizar para arribar a la verdad real, la remisión de la causa a jurisdicción provincial obraría en desmedro de una más expedita y uniforme administración de justicia. –Del dictamen de la Procuración General, al que remitió la Corte Suprema–. 172 FALLOS DE LA CORTE SUPREMA 329 173 DE JUSTICIA DE LA NACION 329 174 FALLOS DE LA CORTE SUPREMA 329 FALLO DE LA CORTE SUPREMA Buenos Aires, 14 de febrero de 2006. Autos y Vistos:","Por los fundamentos y conclusiones del dictamen del señor Procu- rador Fiscal a los que corresponde remitirse en razón de brevedad, se declara que deberá entender en la causa en la que se originó el presen- te incidente el Juzgado Federal Nº 1 de La Plata, Provincia de Buenos Aires, al que se le remitirá. Hágase saber al Juzgado de Garantías Nº 3 del Departamento Judicial de Lomas de Zamora con asiento en la",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI — RICARDO LUIS LORENZETTI — CARMEN M. ARGIBAY.
329_p239,"Considerando: 1º) Que contra la sentencia de la Sala III de la Cámara Federal de la Seguridad Social que confirmó el fallo de la instancia anterior que había admitido la demanda y reconocido el derecho de la actora al beneficio de pensión derivado de la muerte de su conviviente, la ANSeS dedujo recurso ordinario de apelación que fue concedido de conformi- dad con lo dispuesto por el art. 19 de la ley 24.463. 2º) Que la recurrente se agravia de que las instancias anteriores no hayan tenido en cuenta que el causante había contraído nuevas nupcias en el Paraguay después de haberse divorciado de su primera esposa por el art. 67 bis de la ley 2393. Aduce que tal circunstancia era decisiva para la resolución del caso, ya que el plazo de convivencia en aparente matrimonio debía extenderse a cinco años porque el difunto se encontraba separado de hecho de su segunda mujer (art. 1º, ap. 1, primer párrafo, ley 23.570). 240 FALLOS DE LA CORTE SUPREMA 329 3º) Que asiste razón al apelante pues los tribunales intervinientes consideraron que sólo debían probarse dos años de convivencia, sin advertir que el matrimonio celebrado en el extranjero no resultaba al presente susceptible de impugnación (véase causa Z.153.XXXVIII “Za- pata, Lucrecia Isolina c/ ANSeS s/ pensiones” (Fallos: 328:3099), votos de la mayoría y concurrentes, fallada con fecha 16 de agosto de 2005), máxime cuando la cónyuge supérstite se encuentra actualmente per- cibiendo la pensión del de cujus (fs. 12/13 y 15 del expediente adminis- trativo 753-00269559-08 y 18 del expediente 024-270135741252971). 4º) Que la actora no ha logrado demostrar que convivió en aparen- te matrimonio con el difunto durante los cinco años que exige la ley. Surge del expediente que el causante murió cuatro años después de haber obtenido su jubilación ordinaria, época en la que vivía “prácti- camente solo” en un inquilinato sito en la calle Santa Catalina 2741 de la ciudad de Posadas, según lo declarado por la propia interesada, quien manifestó que en ese tiempo su madre se oponía a la relación. Tales aspectos se encuentran respaldados por los recibos de haberes del beneficiario en los que consta dicho domicilio (fs. 36/44, 46/55, 62 y 68 del expediente administrativo 753-0027810-8). 5º) Que los testigos estuvieron contestes en afirmar que la relación databa de 1987, pero que el concubinato se había desarrollado en la casa situada en San Martín 3066, lugar al que se mudaron tres años antes del deceso según lo manifestado tanto por la actora como por los vecinos, tiempo que resulta insuficiente a los efectos de obtener la pen- sión respectiva (confr. fs. 58, 59 vta., 60 vta., 65, 68/69 de las actuacio- nes administrativas mencionadas, y 78 y 94 del principal). 6º) Que no obsta a lo expresado la circunstancia de que durante el tiempo en que convivieron el causante hubiera legado a la actora sus bienes muebles y personales, así como su seguro de vida, pues tal com- portamiento no determina la adquisición de derecho alguno corres- pondiente a los beneficios de la seguridad social, por lo que procede revocar las sentencias que otorgaron la pensión y rechazar la demanda.","Por ello, el Tribunal resuelve: Declarar procedente el recurso ordi- nario de la demandada, revocar la sentencia apelada y rechazar la demanda. Notifíquese y devuélvase.",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA — RICARDO LUIS LORENZETTI — CARMEN M. ARGIBAY.
329_p381,"Considerando: 1º) Que contra la sentencia de la Sala II de la Cámara Federal de la Seguridad Social que confirmó el fallo de la instancia anterior que había reconocido el derecho de la actora al beneficio de pensión, la demandada dedujo el recurso ordinario de apelación que fue concedi- do de acuerdo con lo dispuesto por el art. 19 de la ley 24.463. 2º) Que para decidir de ese modo la cámara tuvo en cuenta que el causante se encontraba en condiciones de obtener la jubilación ordi- naria al momento de morir, pues había cesado en los servicios en di- ciembre de 1993 al amparo del art. 43 de la ley 18.037 y había cumpli- do la edad requerida por ese ordenamiento antes de la entrada en vigencia del Libro I del Sistema Integrado de Jubilaciones y Pensio- nes, que elevó los requisitos de edad y años de servicios con aportes para la obtención del beneficio jubilatorio. 3º) Que la alzada también consideró que el decreto 2433/93, regla- mentario del art. 191, inc. d, de la ley 24.241, era inconstitucional por haber impuesto la aplicación retroactiva de lo establecido por el art. 158 de la citada ley a situaciones de hecho configuradas con anterioridad a su promulgación, lo cual traducía un exceso reglamentario cuyas con- secuencias patrimoniales resultaban contrarias a la garantía consa- grada en el art. 17 de la Constitución Nacional. 4º) Que la demandada sostiene que la pensión de la viuda debe regirse por las disposiciones del Sistema Integrado de Jubilaciones y Pensiones pues el causante falleció durante su vigencia, mas no ad- vierte que la pretensión de la actora se encontraba supeditada al reco- nocimiento del derecho al beneficio de jubilación ordinaria, ni se hace cargo de que, desde esa perspectiva, debía examinarse la cuestión a la luz de las disposiciones de la ley 18.037, vigente al momento del cese laboral del difunto, aparte de que no rebate los aspectos fácticos y jurídicos tenidos en cuenta por el a quo para considerar cumplidos los requisitos exigidos por ese régimen, circunstancias que llevan a decla- rar la deserción del recurso. 383 DE JUSTICIA DE LA NACION 329","Por ello, se declara desierto el recurso ordinario. Notifíquese y de- vuélvase.",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI — RICARDO LUIS LORENZETTI.
329_p472,329,"Por ello, se deja sin efecto el auto de concesión del recurso extraor- dinario, debiendo remitirse las actuaciones al tribunal de origen para que se sustancie la apelación extraordinaria, de conformidad con lo preceptuado en el art. 257 del Código Procesal Civil y Comercial de la Nación y, oportunamente, por quien corresponda, se resuelva sobre su procedencia. Notifíquese y devuélvase.","ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI — RICARDO LUIS LORENZETTI. Recurso extraordinario interpuesto por el Fisco Nacional (AFIP – DGA), representa- do por la doctora Soledad Gaggino, con el patrocinio letrado del doctor Claudio J. Bachur."
329_p473,"Considerando: Que las cuestiones traídas a conocimiento de esta Corte guardan sustancial analogía con las debatidas y resueltas en Fallos: 327:3753 “Aquino”, votos concordantes, a cuyos fundamentos corresponde remi- tir, en lo pertinente, en razón de brevedad. 476 FALLOS DE LA CORTE SUPREMA 329","Por ello, se resuelve hacer lugar a la queja, admitir el recurso ex- traordinario y revocar la sentencia apelada con los alcances indicados, con costas (art. 68 del Código Procesal Civil y Comercial de la Nación).",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA (según su voto) — E. RAÚL ZAFFARONI — CARMEN M. ARGIBAY (según su voto).
329_p1336,"JURISDICCION Y COMPETENCIA: Competencia ordinaria. Por el territorio. Lugar del delito. Si el depósito del que habrían sido sustraídos los discos compactos se encuentra en la Provincia de Buenos Aires y en esa jurisdicción se habría efectuado la venta originaria, corresponde al tribunal local continuar con la tramitación de la cau- sa, sin perjuicio que de considerar que la investigación corresponde a otro juez de su misma provincia, se la remita de conformidad con las normas del derecho procesal local, cuya interpretación y aplicación es ajena a la jurisdicción nacio- nal. –Del dictamen de la Procuración General, al que remitió la Corte Suprema–. 1337 DE JUSTICIA DE LA NACION 329 1338 FALLOS DE LA CORTE SUPREMA 329 FALLO DE LA CORTE SUPREMA Buenos Aires, 25 de abril de 2006. Autos y Vistos:","Por los fundamentos y conclusiones del dictamen del señor Procu- rador Fiscal a los que corresponde remitirse en razón de brevedad, se declara que deberá entender en la causa en la que se originó el presen- te incidente el Juzgado de Garantías Nº 6 del Departamento Judicial de Lomas de Zamora, Provincia de Buenos Aires, al que se le remitirá.",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — RICARDO LUIS LORENZETTI — CARMEN M. ARGIBAY.
329_p1447,"Considerando: 1º) Que la Sala Penal de la Cámara de Apelaciones de la ciudad de Zapala, Provincia del Neuquén, condenó a José Horacio Olmos –como autor del delito de estafa, cometido en forma reiterada– a la pena de dos años de prisión de ejecución condicional e inhabilitación especial para ejercer la profesión de abogado, procurador o letrado en leyes, por el término de tres años de cumplimiento efectivo; y a Guillermo Augusto De Guernica –como coautor del delito de estafa– a la pena de un año de prisión de ejecución condicional e inhabilitación especial para ejercer la profesión de abogado, procurador o letrado en leyes, por el término de dos años de cumplimiento efectivo (fs. 401/419). Esta sentencia fue consentida por el fiscal de cámara y recurrida por los defensores de los condenados mediante el recurso de casación de fs. 429/460, a raíz de lo cual el Tribunal Superior de Justicia la anuló y ordenó el dictado de un nuevo pronunciamiento (fs. 486/492). 2º) Que la citada cámara dictó en consecuencia la sentencia de fs. 553/566 por la que condenó a Olmos a la pena de tres años de pri- sión de ejecución condicional e inhabilitación especial para ejercer la profesión de abogado, procurador o letrado en leyes, por el término de seis años de cumplimiento efectivo; y a De Guernica a la pena de dos años y seis meses de prisión de ejecución condicional e inhabilitación especial para ejercer la profesión de abogado, procurador o letrado en leyes, por el término de cuatro años de cumplimiento efectivo. Esta sentencia también fue recurrida por los defensores de los condenados mediante el recurso de casación de fs. 572/587, que fue luego rechaza- do por el Tribunal Superior de Justicia en el pronunciamiento de fs. 615/627. Contra esta decisión se interpuso el recurso extraordina- rio federal de fs. 629/667 que fue concedido únicamente en cuanto a la alegada violación de la prohibición de la reformatio in pejus. 3º) Que, según doctrina establecida por esta Corte, la prohibición de la reformatio in pejus cuando no media recurso acusatorio tiene jerarquía constitucional, por lo cual toda sentencia que ignore este principio resulta inválida en tanto importa que ha sido dictada sin jurisdicción, afectando de manera ilegítima la situación obtenida por el encausado merced al pronunciamiento consentido por el Ministerio Público en la instancia inferior, lo que lesiona la garantía contempla- da en el art. 18 de la Constitución Nacional (Fallos: 255:79; 298:432; 311:2478; 312:1156, entre otros). 1463 DE JUSTICIA DE LA NACION 329 4º) Que, en tales condiciones, cabe señalar que asiste razón a los recurrentes en cuanto a que se violó dicho principio al elevarse las penas que se habían impuesto en la anterior condena, ya que la juris- dicción de la cámara de apelaciones para dictar la sentencia impugna- da surgió del pronunciamiento de la Corte provincial que descalificó esa primera condena que había sido consentida por el Ministerio Pú- blico. Es por ello que la sentencia de reenvío conculcó la garantía cons- titucional en juego toda vez que agravó la situación del procesado ori- ginada en el fallo anterior de la alzada que había sido anulado a ins- tancia suya. En síntesis, cabe concluir que resultaría ilógico conceder- le al imputado la facultad de impugnación, y, al mismo tiempo, expo- nerlo al riesgo de que por el ejercicio de esta potestad –en ausencia de recurso de la parte acusadora– su situación procesal se vea empeora- da, puesto que de esta manera se lo colocaría en la disyuntiva de co- rrer ese riesgo o consentir una sentencia que considera injusta (conf. Fallos: 300:671 y 307:2236).","Por ello, y habiendo dictaminado el señor Procurador General, se declara procedente el recurso extraordinario y se deja sin efecto la sentencia apelada. Hágase saber y remítanse a fin de que, por quien corresponda, se dicte nuevo pronunciamiento (art. 16, primera parte, de la ley 48).",ENRIQUE SANTIAGO PETRACCHI (según su voto) — ELENA I. HIGHTON DE NOLASCO (en disidencia) — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI — RICARDO LUIS LORENZETTI — CARMEN M. ARGIBAY (en disidencia) — CARLOS M. PEREYRA GONZÁLEZ (en disidencia) — MARIA SUSANA NAJURIETA (en disidencia).
329_p1473,"Considerando: Que esta Corte comparte los fundamentos y conclusiones del dic- tamen del señor Procurador Fiscal subrogante, cuyos términos se dan por reproducidos en razón de brevedad.","Por ello, de conformidad con lo dictaminado por aquél, se confirma la sentencia apelada. Costas por su orden, en razón de que la apelante pudo razonablemente creerse con derecho a recurrir (art. 68 del Códi- go Procesal Civil y Comercial de la Nación). Notifíquese y, oportuna- mente, devuélvase.",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA — RICARDO LUIS LORENZETTI — CARMEN M. ARGIBAY.
