caso_id_canonico,tomo,source_file,li,lf,lfr,retroceso,bloque_total,token_siguiente,sig_caso_id,linea_corte_texto,clasificacion_corte,firma_entre_lfr_lf,firma_linea,firma_texto,hay_dispositivo_perdido,contexto_lfr_menos2,contexto_lfr_menos1,contexto_lfr,contexto_lfr_mas1,contexto_lfr_mas2
329_p53,329,LibroVol329.1.md,1831,2052,1838,214,221,Piñal,329_p1425,competencia originaria de la Corte Suprema de Justicia de la Nación.,otro,SI,1841,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,remitir a fin de evitar repeticiones innecesarias.,"Por ello, se resuelve: Declarar que la presente causa es ajena a la",competencia originaria de la Corte Suprema de Justicia de la Nación.,Notifíquese y comuníquese al señor Procurador General.,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS
329_p120,329,LibroVol329.1.md,4406,4485,4459,26,79,Comignani,329_p1490,gún la definición de la Real Academia) la apelación federal para poder,otro,SI,4472,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,evidencian que el a quo no analizó circunstanciadamente (“con toda,"menudencia, sin omitir ninguna circunstancia o particularidad”, se-",gún la definición de la Real Academia) la apelación federal para poder,efectuar la valoración a que obliga la doctrina citada precedentemen-,te (fallos citados en el considerando 3º).
329_p201,329,LibroVol329.1.md,7448,7599,7480,119,151,Agroindustrias,329_p5085,DICTAMEN DE LA PROCURACIÓN GENERAL,sumario_header,,,,,comercializar dichas especialidades medicinales.,"–Del dictamen de la Procuración General, al que remitió la Corte Suprema–.",DICTAMEN DE LA PROCURACIÓN GENERAL,Suprema Corte:,– I –
329_p237,329,LibroVol329.1.md,8729,8790,8748,42,61,ANSeS,329_p239,dientes y se acrediten en su respectiva cuenta del ANSeS. (v. fs. 8/9 y,otro,SI,8786,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,"de Servicios Sociales para Jubilados y Pensionados, con el objeto de",que el mencionado ente pague los aportes y contribuciones correspon-,dientes y se acrediten en su respectiva cuenta del ANSeS. (v. fs. 8/9 y,"fs. 24). Basó su reclamo en la ley 24.241, 23.771 y el Código Penal.","En tales condiciones, se suscitó un conflicto de competencia que"
329_p542,329,LibroVol329.1.md,20457,20529,20508,21,72,Gatti,329_p1908,"2004, y dictámenes de este Ministerio Público in re C.2418, L.XXXIX,",otro,,,,,"cia in re M. 903, XXXIX, “Matadero y Frigorífico Merlo S.A. c/ Buenos","Aires, Provincia de s/ acción declarativa de certeza”, del 27 de mayo de","2004, y dictámenes de este Ministerio Público in re C.2418, L.XXXIX,","“Cuyoplacas S.A. c/ La Pampa, Provincia de s/ ordinario” y B.2576,","XL, Originario “Bogado, Raimundo Oscar c/ Misiones, Provincia de s/"
329_p551,329,LibroVol329.1.md,20745,20815,20751,64,70,Lorenzo,329_p1917,de Justicia de la Nación.,otro,SI,20764,ELENA I. HIGHTON DE NOLASCO — CARMEN M. ARGIBAY.,SI,para entender en estos autos por ser partes el Estado Nacional y la,Provincia de Buenos Aires y ordena su remisión a la Corte Suprema,de Justicia de la Nación.,3º) Que las cuestiones que se debaten en estas actuaciones guar-,dan sustancial analogía con lo resuelto en la fecha en los autos
329_p573,329,LibroVol329.1.md,21559,21662,21627,35,103,Weil,329_p1938,"(confr. causa T.1041.XXXVIII. “Tarditti, Marta Elena c/ ANSeS s/ pen-",otro,,,,,acceder a los beneficios de la seguridad social deben ser valoradas a la,fecha de producirse la contingencia que motiva el amparo previsional,"(confr. causa T.1041.XXXVIII. “Tarditti, Marta Elena c/ ANSeS s/ pen-","siones”, fallada en la fecha).","6º) Que, en efecto, el inciso 1º del apartado a del citado art. 95,"
329_p792,329,LibroVol329.1.md,29873,30305,30295,10,432,Gorodisch,329_p2162,"cesal Civil y Comercial de la Nación). Notifíquese y, oportunamente,",otro,SI,30298,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — E. RAÚL,,"Tierra del Fuego, Antártida e Islas del Atlántico Sur, y de la resolu-",ción reglamentaria 8/03 de la DGR. Con costas (art. 68 del Código Pro-,"cesal Civil y Comercial de la Nación). Notifíquese y, oportunamente,",archívese.,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — E. RAÚL
329_p805,329,LibroVol329.1.md,30406,30524,30516,8,118,Barraza,329_p5694,"que la provincia aún no ha requerido, por lo que, con arreglo a lo deci-",otro,,,,SI,en los términos señalados.,"De allí, pues, que la decisión del juzgado se funda en un beneficio","que la provincia aún no ha requerido, por lo que, con arreglo a lo deci-","dido por esta Corte en Fallos: 319:1755 y sus citas, la inhibición con",que concluye resulta prematura en esta instancia procesal.
329_p833,329,LibroVol329.1.md,31496,31674,31656,18,178,Bonelli,329_p5724,"Portuarias S.A. c/ Chaco, Provincia del y otra s/ ejecutivo” del 12 de",otro,SI,31668,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,"Provincia del –Secretaría de Gobierno, LU 9 TV Canal 7 de Rawson–",s/ ordinario” del 3 de marzo de 1992; y D.508.XXXI “Dragados y Obras,"Portuarias S.A. c/ Chaco, Provincia del y otra s/ ejecutivo” del 12 de",diciembre de 1995).,"Por lo demás, se debe tener presente que por provenir la compe-"
