caso_id_canonico,marco,origen_b,doble_cod,spotcheck_estruct,source_file,linea_inicio,linea_fin_real,parser_outcome,parser_causa_inadmisibilidad,parser_es_queja,parser_queja_resultado,parser_tipo_cuestion_federal
329_p120,B,outcome=nulidad|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=arbitrariedad,0,0,LibroVol329.1.md,4406,4486,nulidad,,0,,arbitrariedad
329_p1336,A,,0,0,LibroVol329.1.md,50825,50897,competencia,,0,,
329_p1447,A,,0,0,LibroVol329.2.md,2787,3858,procedente,,0,,mixto
329_p1473,A,,0,0,LibroVol329.2.md,3859,4116,confirma,,0,,cuestion_federal
329_p1487,A,,0,0,LibroVol329.2.md,4350,4380,competencia,,0,,
329_p1541,A,,0,1,LibroVol329.2.md,6398,6893,hace_lugar,,1,hace_lugar,arbitrariedad
329_p1626,A,,0,0,LibroVol329.2.md,9667,9751,nulidad,,0,,cuestion_federal
329_p167,A,,0,0,LibroVol329.1.md,6161,6281,competencia,,0,,
329_p1693,A,,0,0,LibroVol329.2.md,12191,12287,competencia,,0,,
329_p171,A,,0,0,LibroVol329.1.md,6282,6430,competencia,,0,,
329_p1756,B,queja_resultado=suspendida|tipo_cuestion_federal=VACIO,0,0,LibroVol329.2.md,14688,14767,otro,,1,suspendida,
329_p1805,B,outcome=inadmisible|causa_inadmisibilidad=INADMISIBLE_REMITE_DICTAMEN|es_queja=1|queja_resultado=agreguese|tipo_cuestion_federal=VACIO,0,0,LibroVol329.2.md,16509,16798,inadmisible,INADMISIBLE_REMITE_DICTAMEN,1,agreguese,
329_p182,B,outcome=mal_concedido|causa_inadmisibilidad=INADMISIBLE_SIN_CAUSAL_EXPLICITA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,1,0,LibroVol329.1.md,6694,6774,mal_concedido,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,
329_p1862,A,,0,1,LibroVol329.2.md,18668,19184,originaria,,0,,
329_p1908,A,,0,0,LibroVol329.2.md,20478,20542,competencia,,0,,
329_p1917,A,,0,0,LibroVol329.2.md,20803,20935,otro,,0,,
329_p1928,B,outcome=sin_dispositivo|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.2.md,21209,21258,sin_dispositivo,,0,,
329_p1933,B,outcome=desierto|causa_inadmisibilidad=INADMISIBLE_SIN_CAUSAL_EXPLICITA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.2.md,21384,21472,desierto,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,
329_p1936,A,,0,0,LibroVol329.2.md,21473,21571,confirma,,0,,
329_p1963,A,,0,0,LibroVol329.2.md,22552,22752,procedente,,0,,mixto
329_p1972,B,outcome=caducidad|causa_inadmisibilidad=CADUCIDAD_INSTANCIA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=cuestion_federal,0,0,LibroVol329.2.md,22879,22943,caducidad,CADUCIDAD_INSTANCIA,0,,cuestion_federal
329_p1974,B,outcome=mal_concedido|causa_inadmisibilidad=INADMISIBLE_SIN_CAUSAL_EXPLICITA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.2.md,22944,23329,mal_concedido,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,
329_p2063,B,outcome=sin_dispositivo|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.2.md,26309,26325,sin_dispositivo,,0,,
329_p2111,A,,0,0,LibroVol329.2.md,28130,28288,originaria,,0,,
329_p2206,B,outcome=inadmisible|causa_inadmisibilidad=INADMISIBLE_REMITE_DICTAMEN|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=arbitrariedad,0,0,LibroVol329.2.md,31524,31752,inadmisible,INADMISIBLE_REMITE_DICTAMEN,0,,arbitrariedad
329_p2217,B,causa_inadmisibilidad=FALTA_FUNDAMENTACION_AUTONOMA|es_queja=1|queja_resultado=desestima|tipo_cuestion_federal=VACIO,0,0,LibroVol329.2.md,31942,31984,desestima,FALTA_FUNDAMENTACION_AUTONOMA,1,desestima,
329_p2263,B,outcome=mal_concedido|causa_inadmisibilidad=FALTA_SENTENCIA_DEFINITIVA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=cuestion_federal,0,0,LibroVol329.2.md,33615,33658,mal_concedido,FALTA_SENTENCIA_DEFINITIVA,0,,cuestion_federal
329_p2265,A,,0,0,LibroVol329.2.md,33659,34029,procedente,,0,,mixto
329_p2293,B,queja_resultado=abstracta|tipo_cuestion_federal=VACIO,0,0,LibroVol329.2.md,34741,34835,otro,,1,abstracta,
329_p239,A,,0,0,LibroVol329.1.md,8792,8873,revoca,,0,,
329_p2532,B,outcome=deja_sin_efecto|causa_inadmisibilidad=VACIO|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=mixto,0,0,LibroVol329.2.md,43962,44186,deja_sin_efecto,,0,,mixto
329_p2567,B,outcome=improcedente|causa_inadmisibilidad=INADMISIBLE_SIN_CAUSAL_EXPLICITA|es_queja=0|queja_resultado=VACIO|tipo_cuestion_federal=VACIO,0,0,LibroVol329.2.md,45275,45345,improcedente,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0,,
329_p2569,A,,0,0,LibroVol329.2.md,45346,45546,procedente,,0,,mixto
329_p2588,A,,0,1,LibroVol329.2.md,46032,46137,inadmisible_280,ART_280,1,desestima,
329_p2610,B,queja_resultado=rechaza|tipo_cuestion_federal=VACIO,0,0,LibroVol329.2.md,46843,46959,rechaza,,1,rechaza,
329_p2645,A,,0,0,LibroVol329.2.md,48146,48318,hace_lugar,,1,hace_lugar,
329_p2649,B,outcome=inadmisible_280|causa_inadmisibilidad=ART_280|es_queja=1|queja_resultado=desestima|tipo_cuestion_federal=arbitrariedad,1,0,LibroVol329.2.md,48319,48540,inadmisible_280,ART_280,1,desestima,arbitrariedad
329_p2856,A,,0,1,LibroVol329.2.md,55984,56108,hace_lugar,,1,hace_lugar,arbitrariedad
329_p2911,A,,0,0,LibroVol329.2.md,58029,58210,otro,,0,,
